,Agr. Pot,Agr. Eff
Critical with moderate agricultural opportunities,0,
High performance,1,
Low priority with high agricultural opportunities,1,
High priority,1,
Low priority,0,
Medium priority with moderate agricultural opportunities,0,
Medium priority with high agricultural opportunities,1,
,,
,,
,,
Crítico con oportunidades moderadas,,
Alto desempeño,,
Baja prioridad con oportunidades agrícolas altas,,
Alta prioridad,,
Baja prioridad,,
Prioridad media con oportunidades agrícolas moderadas,,
Prioridad media con oportunidades agrícolas altas,,